# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_11_2S
 # Operator: Dominic
 # Date: Wed Feb 27 08:48:27 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


 Pad	            Istrip	                Rpoly	                Idark	                Cac	                   Cint	    Idiel	                Rint	                Temperature	                    Humidity
 #	Current[A]	Resistance[Ohms]	Current[A]	Capacitance[F]	Capacitance[F]	Current[A]	Resistance[Ohms]	[Degree C]	[RH%]
133	1.04E-10	1688041.4	8.68342E-11	6.93926E-11	3.26205E-12	8.68342E-11	93958100000	20	20
134	1.04E-10	1682366.34	9.3592E-11	6.37516E-12	3.25445E-12	9.3592E-11	1.88449E+11	20	20
135	1.00E-10	1699548.7	9.18005E-11	3.37922E-12	3.25012E-12	9.18005E-11	1.13412E+11	20	20
136	1.02E-10	1692784.88	9.25935E-11	7.047E-11	3.65575E-12	9.25935E-11	68566500000	20	20
137	1.05E-10	1679220.92	8.76934E-11	6.81132E-11	3.2607E-12	8.76934E-11	83303100000	20	20
138	1.04E-10	1700320.12	9.29097E-11	7.07169E-11	3.65714E-12	9.29097E-11	1.63608E+11	20	20
139	1.00E-10	1680081.4	9.10789E-11	7.04396E-11	3.65222E-12	9.10789E-11	89819500000	20	20
140	9.97E-11	1689361.71	9.52489E-11	6.95864E-11	3.27125E-12	9.52489E-11	66867400000	20	20
141	1.02E-10	1692222.13	8.80605E-11	7.0192E-11	3.28009E-12	8.80605E-11	79457100000	20	20
142	1.06E-10	1684787.53	9.30583E-11	7.08816E-11	3.65274E-12	9.30583E-11	75508400000	20	20
143	1.05E-10	1683258.12	9.3126E-11	6.86236E-11	3.26252E-12	9.3126E-11	1.77317E+11	20	20
144	1.03E-10	1688058.2	9.3549E-11	6.80656E-11	3.25894E-12	9.3549E-11	62780800000	20	20
145	9.95E-11	1681126.54	9.13355E-11	7.01379E-11	3.6567E-12	9.13355E-11	79727600000	20	20
146	1.02E-10	1692497.06	8.45025E-11	7.08351E-11	3.65538E-12	8.45025E-11	8.70729E+11	20	20
147	1.01E-10	1683464.08	9.13514E-11	7.08661E-11	3.27961E-12	9.13514E-11	1.24867E+11	20	20
148	1.01E-10	1686464.82	9.10304E-11	7.04995E-11	3.64967E-12	9.10304E-11	66282800000	20	20
149	1.04E-10	1700670.1	8.85815E-11	6.72857E-11	3.26201E-12	8.85815E-11	1.01531E+11	20	20
150	9.85E-11	1683886.28	8.85987E-11	7.08336E-11	3.65277E-12	8.85987E-11	68216600000	20	20
151	9.86E-11	1696600.47	8.57433E-11	7.04108E-11	3.63472E-12	8.57433E-11	80559400000	20	20
152	1.02E-10	1693279.18	9.15879E-11	6.00043E-11	3.65071E-12	9.15879E-11	66335800000	20	20
153	1.01E-10	1685129.89	9.15928E-11	6.99474E-11	3.27175E-12	9.15928E-11	2.30207E+11	20	20
154	1.04E-10	1688111.6	9.00468E-11	7.07368E-11	3.64981E-12	9.00468E-11	1.60421E+11	20	20
155	1.01E-10	1685351.03	9.00547E-11	7.07664E-11	3.51029E-12	9.00547E-11	70211900000	20	20
156	1.04E-10	1674336.69	9.2063E-11	7.06005E-11	3.65156E-12	9.2063E-11	6.89834E+11	20	20
157	9.91E-11	1682342.65	9.18301E-11	7.05935E-11	3.65235E-12	9.18301E-11	56653100000	20	20
158	9.81E-11	1682906.82	8.9311E-11	7.04507E-11	3.65322E-12	8.9311E-11	1.62286E+11	20	20
159	1.03E-10	1693272.58	8.86717E-11	7.03386E-11	3.65588E-12	8.86717E-11	87698200000	20	20
160	1.06E-10	1688874.28	8.8807E-11	1.1212E-11	3.25306E-12	8.8807E-11	79863500000	20	20
161	9.95E-11	1693777.14	9.04696E-11	7.03121E-11	3.65166E-12	9.04696E-11	87656700000	20	20
162	9.98E-11	1694302.27	9.39422E-11	7.03393E-11	3.65136E-12	9.39422E-11	1.40185E+11	20	20
163	1.05E-10	1683546.8	9.28589E-11	7.07329E-11	3.6531E-12	9.28589E-11	76178100000	20	20
164	1.03E-10	1692271.56	9.19938E-11	7.02258E-11	3.28015E-12	9.19938E-11	2.79209E+11	20	20
165	1.02E-10	1680502.18	8.95742E-11	7.03413E-11	3.28371E-12	8.95742E-11	1.2513E+11	20	20
166	1.03E-10	1687935.69	8.84826E-11	7.04409E-11	3.65422E-12	8.84826E-11	63546500000	20	20
167	1.01E-10	1685779.11	8.85012E-11	7.03384E-11	3.64317E-12	8.85012E-11	97924000000	20	20
168	9.92E-11	1681696.43	8.96368E-11	7.06728E-11	3.65231E-12	8.96368E-11	65917500000	20	20
169	9.57E-11	1689511.14	8.60593E-11	7.00759E-11	3.65647E-12	8.60593E-11	1.07221E+11	20	20
170	1.00E-10	1695161.88	8.88251E-11	3.58948E-12	3.25801E-12	8.88251E-11	1.01401E+11	20	20
171	1.02E-10	1683407.23	8.9083E-11	6.99102E-11	3.26999E-12	8.9083E-11	1.20503E+11	20	20
